batch_id,trial,warmup,system,config,phase,ticks,ns_since_e2,delta_ticks,delta_ns,source
20260818T013740Z-1,3,1,whimbrel,release-default,net_init_done,963118,72866000,52056,5205600,serial
20260818T013740Z-1,3,1,whimbrel,release-default,heap_init,963343,72888500,225,22500,serial
20260818T013740Z-1,3,1,whimbrel,release-default,accounting,984739,75028100,21396,2139600,serial
20260818T013740Z-1,3,1,whimbrel,release-default,freeze,985756,75129800,1017,101700,serial
20260818T013740Z-1,3,1,whimbrel,release-default,sret,987978,75352000,2222,222200,serial
20260818T013740Z-1,3,1,whimbrel,release-default,E3g,1007451,77299300,19473,1947300,serial
20260818T013740Z-1,3,1,whimbrel,release-default,E3g_doorbell,1011437,77697900,3986,398600,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,_start,235909,0,0,0,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,stamp_a,236580,67100,671,67100,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,stamp_b,236636,72700,56,5600,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,stvec,239217,330800,2581,258100,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,frame_init,240693,478400,1476,147600,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,task_init,246548,1063900,5855,585500,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,page_build,250432,1452300,3884,388400,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,page_verify,257687,2177800,7255,725500,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,activate,258559,2265000,872,87200,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,virtq_init,266997,3108800,8438,843800,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,DRIVER_OK,272470,3656100,5473,547300,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,first_rx,275536,3962700,3066,306600,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,syn_rx,278292,4238300,2756,275600,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,established,280939,4503000,2647,264700,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,serving_ready,284515,4860600,3576,357600,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,net_init_done,287416,5150700,2901,290100,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,heap_init,287639,5173000,223,22300,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,accounting,287894,5198500,255,25500,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,freeze,288020,5211100,126,12600,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,sret,288210,5230100,190,19000,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,E3g,300602,6469300,12392,1239200,serial
20260818T013740Z-1,3,1,whimbrel,release-fast-boot,E3g_doorbell,301465,6555600,863,86300,serial
20260818T013740Z-1,10,0,whimbrel,release-default,_start,232872,0,0,0,serial
20260818T013740Z-1,10,0,whimbrel,release-default,stamp_a,233324,45200,452,45200,serial
20260818T013740Z-1,10,0,whimbrel,release-default,stamp_b,233377,50500,53,5300,serial
20260818T013740Z-1,10,0,whimbrel,release-default,stvec,243525,1065300,10148,1014800,serial
20260818T013740Z-1,10,0,whimbrel,release-default,frame_init,548329,31545700,304804,30480400,serial
20260818T013740Z-1,10,0,whimbrel,release-default,task_init,580742,34787000,32413,3241300,serial
20260818T013740Z-1,10,0,whimbrel,release-default,page_build,587703,35483100,6961,696100,serial
20260818T013740Z-1,10,0,whimbrel,release-default,page_verify,706189,47331700,118486,11848600,serial
20260818T013740Z-1,10,0,whimbrel,release-default,activate,708992,47612000,2803,280300,serial
20260818T013740Z-1,10,0,whimbrel,release-default,virtq_init,779014,54614200,70022,7002200,serial
20260818T013740Z-1,10,0,whimbrel,release-default,DRIVER_OK,842399,60952700,63385,6338500,serial
20260818T013740Z-1,10,0,whimbrel,release-default,first_rx,876641,64376900,34242,3424200,serial
20260818T013740Z-1,10,0,whimbrel,release-default,syn_rx,889182,65631000,12541,1254100,serial
