# bench summary (D-0055): n / median / IQR / min / max; warmup excluded
qemu_version=QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2)
qemu_hash=89a99b20357ac92b2c6a533fe79d6fab6b507784858299f7109651f2d524d274
git_sha=35861f30861844e50b4d50a87e67cc96844a14ef dirty=0
host_kernel=7.0.0-29-generic
cpu_model=AMD Ryzen 7 7800X3D 8-Core Processor
governor=performance smt_control=off cpufreq_boost=0 virt=none steal_start_ticks=0 loadavg_1m=0.66
client_granularity_ns=1000092
shuffle_seed=1786939992244069771
stamp_overhead_ns=5500 (floor max(that, 100 ns); not a stability metric)

## whimbrel release-default batch=20260817T041311Z-1 n_recorded=30
metric                                  n         median            IQR            min            max
phase_activate_since_e2_ns             30       55649950        1092050       55201700       56883300
phase_established_delta_ns             30         777800           6575         762600         788100
phase_established_since_e2_ns          30       74370050        1155375       73798300       75538400
phase_first_rx_delta_ns                30        3374600          37750        3321900        3410800
phase_first_rx_since_e2_ns             30       72344350        1174825       71759200       73483500
phase_frame_init_delta_ns              30       36584050        1063675       36301800       38081600
phase_frame_init_since_e2_ns           30       37661100        1062875       37372200       39139900
phase_freeze_delta_ns                  30        4874100          46850        4812800        5895000
phase_freeze_since_e2_ns               30       92764950        1356900       91575500       94664700
phase_heap_init_delta_ns               30          26300            375          25800          26800
phase_heap_init_since_e2_ns            30       80518400        1162200       79848800       81676300
phase_net_init_done_delta_ns           30        5147400          61025        5086600        5249100
phase_net_init_done_since_e2_ns        30       80492400        1162400       79822600       81649500
phase_page_build_delta_ns              30        1246300          38675        1210500        1269100
phase_page_build_since_e2_ns           30       42018600        1065125       41700700       43455200
phase_page_verify_delta_ns             30       13240950         125050       13094500       13392300
phase_page_verify_since_e2_ns          30       55346900        1103075       54896800       56582600
phase_serving_ready_delta_ns           30         897550          10000         885000         906000
phase_serving_ready_since_e2_ns        30       75272700        1144475       74689900       76443000
phase_sret_delta_ns                    30         227050           3725         221100         254400
phase_sret_since_e2_ns                 30       92988500        1355400       91802400       94889700
phase_stamp_a_delta_ns                 30          45700            550          44900          49600
phase_stamp_a_since_e2_ns              30          45700            550          44900          49600
phase_stamp_b_delta_ns                 30           5400            100           5300           9000
phase_stamp_b_since_e2_ns              30          51200            575          50200          55700
phase_stvec_delta_ns                   30        1019200           9725        1006300        1030100
phase_stvec_since_e2_ns                30        1070400          10425        1056800        1084700
phase_syn_rx_delta_ns                  30        1236750          28125        1219600        1272100
phase_syn_rx_since_e2_ns               30       73584050        1159250       73023700       74750300
phase_task_init_delta_ns               30        3096400          26250        3049700        3148400
phase_task_init_since_e2_ns            30       40778650        1032175       40475900       42238900
phase_virtq_init_delta_ns              30        6992900          75475        6772200        7109300
phase_virtq_init_since_e2_ns           30       62657050        1190250       62015500       63834400

## whimbrel release-fast-boot batch=20260817T041311Z-2 n_recorded=30
metric                                  n         median            IQR            min            max
e0_to_e3w_ns                           30       25790638         330177       25317897       26403317
e0_to_e4_ns                            30       66958942         397309       66278754       68597991
e0_to_first_connect_ns                 30       18701929         214814       18275061       19100242
e2_to_e3g_ns                           30       21384350         124850       21116300       22858800
phase_DRIVER_OK_delta_ns               30         554800          10525         539700         565200
phase_DRIVER_OK_since_e2_ns            30       13621050          79550       13419000       14453100
phase_E3g_delta_ns                     30        1427450          31750        1241000        1449400
phase_E3g_doorbell_delta_ns            30          86400           3675          79300          93200
phase_E3g_doorbell_since_e2_ns         30       21475250         127625       21198200       22946300
phase_E3g_since_e2_ns                  30       21384350         124850       21116300       22858800
phase__start_delta_ns                  30              0              0              0              0
phase__start_since_e2_ns               30              0              0              0              0
phase_accounting_delta_ns              30        4780250          58875        4728200        5593200
phase_accounting_since_e2_ns           30       19930500         152650       19676100       21585800
phase_activate_delta_ns                30         100700           2700          97800         106000
phase_activate_since_e2_ns             30       12215700          68225       12036000       13039000
phase_established_delta_ns             30         271850           4475         266200         280600
phase_established_since_e2_ns          30       14493250          91200       14282100       15333300
phase_first_rx_delta_ns                30         313550           7875         305200         321700
phase_first_rx_since_e2_ns             30       13932350          86150       13731700       14774800
phase_frame_init_delta_ns              30        7197550          60175        7054100        8037700
phase_frame_init_since_e2_ns           30        7501550          58575        7364600        8342100
phase_freeze_delta_ns                  30           7500            100           7100           9800
phase_freeze_since_e2_ns               30       19938050         152650       19685900       21594100
phase_heap_init_delta_ns               30          25200            475          24400          26500
phase_heap_init_since_e2_ns            30       15157850          95925       14934500       15992600
phase_net_init_done_delta_ns           30         269450           3275         265400         279200
phase_net_init_done_since_e2_ns        30       15132550          95450       14909500       15967500
phase_page_build_delta_ns              30        1443850           8925        1436800        1610600
phase_page_build_since_e2_ns           30        9535050          79075        9388000       10540600
phase_page_verify_delta_ns             30        2572050          12075        2400600        2627500
phase_page_verify_since_e2_ns          30       12113500          68900       11936000       12941200
phase_serving_ready_delta_ns           30         360100           7175         353200         371200
phase_serving_ready_since_e2_ns        30       14857750          91625       14641800       15696900
phase_sret_delta_ns                    30          19800            300          19100          24400
phase_sret_since_e2_ns                 30       19958050         152350       19707200       21616700
phase_stamp_a_delta_ns                 30          44500            600          43500          45200
phase_stamp_a_since_e2_ns              30          44500            600          43500          45200
phase_stamp_b_delta_ns                 30           5500             75           5300           5800
phase_stamp_b_since_e2_ns              30          50050            675          48800          50900
phase_stvec_delta_ns                   30         254750           4175         246500         263900
phase_stvec_since_e2_ns                30         304750           3950         295300         314000
phase_syn_rx_delta_ns                  30         283450           6150         273900         294500
phase_syn_rx_since_e2_ns               30       14220250          89200       14012100       15059200
phase_task_init_delta_ns               30         585000           6350         572100         597400
phase_task_init_since_e2_ns            30        8088850          67250        7945900        8930000
phase_virtq_init_delta_ns              30         849900          10175         828900         880800
phase_virtq_init_since_e2_ns           30       13062150          76775       12873400       13891500

## steal vs latency (recorded trials; not a stability metric)
SC_CLK_TCK=100 steal_tick=10000000 ns n=120 nonzero=0 median_steal_ticks=0 max_steal_ticks=0
spearman(steal_ticks, e0_to_e4_ns): undefined (constant or n<3)
spearman(steal_ticks, e0_to_first_connect_ns): undefined (constant or n<3)
spearman(steal_ticks, e2_to_e3g_ns): undefined (constant or n<3)
slow-quartile e0_to_e4 n=30 mean_steal_ticks=0.000; rest n=90 mean_steal_ticks=0.000
steal was 0 on every recorded trial. USER_HZ=100 cannot resolve host interference below 10.0 ms/tick, so a sub-tick median shift cannot be confirmed or denied by this column.

## stability (two interleaved batches, metrics ≥ 1 ms; not within-batch arm comparison)
release-default: 20260817T041311Z-1 vs 20260817T041311Z-2 PASS
release-fast-boot: 20260817T041311Z-1 vs 20260817T041311Z-2 PASS

