batch_id,trial,warmup,system,config,git_sha,dirty,kernel_sha256,bios_sha256,qemu_version,qemu_hash,host_kernel,cpu_model,governor,smt_control,cpufreq_boost,virt,steal_start_ticks,loadavg_1m,qemu_cpu,client_cpu,client_granularity_ns,shuffle_seed,run_order,steal_ticks,steal_ns,e0_mono_ns,e0_wall_ns,e0_to_first_connect_ns,e0_to_e4_ns,w_ns,d_ack_ns,d_fin_ns,synack_to_http_ns,guest_ftx_ns,guest_arp_req_n,attempts,pcap_path
20260819T164056Z-1,1,1,whimbrel,release-fast-boot,ba6c19721f665260236c640bfb4160ff2cbb5f99,0,e5e304136e26f115e719478997af560d9a94486a702ea88772e4aaa38fb479fc,,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),89a99b20357ac92b2c6a533fe79d6fab6b507784858299f7109651f2d524d274,7.0.0-29-generic,AMD Ryzen 7 7800X3D 8-Core Processor,performance,off,0,none,0,0.09,6,7,1000101,1787157659059646537,1,0,0,36963890364282,1787157659085028732,18679221,52571108,23722000,25000,112000,2110000,23148000,2,16,results/trials/20260819T164056Z-1/release-fast-boot/01/qemu.pcap
20260819T164056Z-1,1,1,whimbrel,release-default,ba6c19721f665260236c640bfb4160ff2cbb5f99,0,1e65498521caf38a8e0ae2e5f26ea032dd81ce040d16a94b7ca84ce7a25d6827,,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),89a99b20357ac92b2c6a533fe79d6fab6b507784858299f7109651f2d524d274,7.0.0-29-generic,AMD Ryzen 7 7800X3D 8-Core Processor,performance,off,0,none,0,0.09,6,7,1000101,1787157659059646537,2,0,0,36964632226631,1787157659826891012,19315444,123745472,86720000,24000,75000,11148000,84617000,2,18,results/trials/20260819T164056Z-1/release-default/01/qemu.pcap
20260819T164056Z-1,1,1,whimbrel,m-release-fast-boot,ba6c19721f665260236c640bfb4160ff2cbb5f99,0,6ae9906fcda2128c46feef37a0c11e6bfbd4e77aca0ab81eeea57f0ae64e1d88,1698b114daec15f0b6b2d6bc8d71a219897840939b75284d42aa6248ae6985fa,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),89a99b20357ac92b2c6a533fe79d6fab6b507784858299f7109651f2d524d274,7.0.0-29-generic,AMD Ryzen 7 7800X3D 8-Core Processor,performance,off,0,none,0,0.09,6,7,1000101,1787157659059646537,3,0,0,36965440279882,1787157660634944282,19639847,28753841,1343000,26000,38000,1604000,757000,2,18,results/trials/20260819T164056Z-1/m-release-fast-boot/01/qemu.pcap
20260819T164056Z-1,1,1,whimbrel,m-release-default,ba6c19721f665260236c640bfb4160ff2cbb5f99,0,3059d5293e27aab6e89a5ff6e5f11e78d007249cc5011db6bed9e86f7b639ef7,1698b114daec15f0b6b2d6bc8d71a219897840939b75284d42aa6248ae6985fa,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),89a99b20357ac92b2c6a533fe79d6fab6b507784858299f7109651f2d524d274,7.0.0-29-generic,AMD Ryzen 7 7800X3D 8-Core Processor,performance,off,0,none,0,0.09,6,7,1000101,1787157659059646537,4,0,0,36966139159534,1787157661333823985,18433456,97816603,65325000,25000,67000,9921000,62603000,2,17,results/trials/20260819T164056Z-1/m-release-default/01/qemu.pcap
20260819T164056Z-1,2,1,whimbrel,release-fast-boot,ba6c19721f665260236c640bfb4160ff2cbb5f99,0,e5e304136e26f115e719478997af560d9a94486a702ea88772e4aaa38fb479fc,,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),89a99b20357ac92b2c6a533fe79d6fab6b507784858299f7109651f2d524d274,7.0.0-29-generic,AMD Ryzen 7 7800X3D 8-Core Processor,performance,off,0,none,0,0.09,6,7,1000101,1787157659059646537,5,0,0,36966948711589,1787157662143375990,18902103,53132269,27913000,25000,154000,2121000,27326000,2,17,results/trials/20260819T164056Z-1/release-fast-boot/02/qemu.pcap
20260819T164056Z-1,2,1,whimbrel,release-default,ba6c19721f665260236c640bfb4160ff2cbb5f99,0,1e65498521caf38a8e0ae2e5f26ea032dd81ce040d16a94b7ca84ce7a25d6827,,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),89a99b20357ac92b2c6a533fe79d6fab6b507784858299f7109651f2d524d274,7.0.0-29-generic,AMD Ryzen 7 7800X3D 8-Core Processor,performance,off,0,none,0,0.09,6,7,1000101,1787157659059646537,6,0,0,36967705497858,1787157662900162319,18954061,140967097,100151000,26000,64000,14210000,97542000,2,17,results/trials/20260819T164056Z-1/release-default/02/qemu.pcap
20260819T164056Z-1,2,1,whimbrel,m-release-fast-boot,ba6c19721f665260236c640bfb4160ff2cbb5f99,0,6ae9906fcda2128c46feef37a0c11e6bfbd4e77aca0ab81eeea57f0ae64e1d88,1698b114daec15f0b6b2d6bc8d71a219897840939b75284d42aa6248ae6985fa,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),89a99b20357ac92b2c6a533fe79d6fab6b507784858299f7109651f2d524d274,7.0.0-29-generic,AMD Ryzen 7 7800X3D 8-Core Processor,performance,off,0,none,0,0.09,6,7,1000101,1787157659059646537,7,0,0,36968570040626,1787157663764705127,18757609,28820898,1186000,25000,69000,1561000,604000,2,17,results/trials/20260819T164056Z-1/m-release-fast-boot/02/qemu.pcap
20260819T164056Z-1,2,1,whimbrel,m-release-default,ba6c19721f665260236c640bfb4160ff2cbb5f99,0,3059d5293e27aab6e89a5ff6e5f11e78d007249cc5011db6bed9e86f7b639ef7,1698b114daec15f0b6b2d6bc8d71a219897840939b75284d42aa6248ae6985fa,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),89a99b20357ac92b2c6a533fe79d6fab6b507784858299f7109651f2d524d274,7.0.0-29-generic,AMD Ryzen 7 7800X3D 8-Core Processor,performance,off,0,none,0,0.09,6,7,1000101,1787157659059646537,8,0,0,36969271494166,1787157664466158626,19456510,97204735,62784000,25000,69000,9926000,60765000,2,18,results/trials/20260819T164056Z-1/m-release-default/02/qemu.pcap
20260819T164056Z-1,3,1,whimbrel,release-fast-boot,ba6c19721f665260236c640bfb4160ff2cbb5f99,0,e5e304136e26f115e719478997af560d9a94486a702ea88772e4aaa38fb479fc,,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),89a99b20357ac92b2c6a533fe79d6fab6b507784858299f7109651f2d524d274,7.0.0-29-generic,AMD Ryzen 7 7800X3D 8-Core Processor,performance,off,0,none,0,0.09,6,7,1000101,1787157659059646537,9,0,0,36970077495637,1787157665272160027,18594851,52483712,23771000,25000,64000,2105000,23175000,2,17,results/trials/20260819T164056Z-1/release-fast-boot/03/qemu.pcap
20260819T164056Z-1,3,1,whimbrel,release-default,ba6c19721f665260236c640bfb4160ff2cbb5f99,0,1e65498521caf38a8e0ae2e5f26ea032dd81ce040d16a94b7ca84ce7a25d6827,,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),89a99b20357ac92b2c6a533fe79d6fab6b507784858299f7109651f2d524d274,7.0.0-29-generic,AMD Ryzen 7 7800X3D 8-Core Processor,performance,off,0,none,0,0.09,6,7,1000101,1787157659059646537,10,0,0,36970842827645,1787157666037492055,18785752,140269368,99656000,29000,67000,14349000,97038000,2,17,results/trials/20260819T164056Z-1/release-default/03/qemu.pcap
